asdf_id,v4composites_calibrated_201709.1992.mean,v4composites_calibrated_201709.1993.mean,v4composites_calibrated_201709.1994.mean,v4composites_calibrated_201709.1995.mean,v4composites_calibrated_201709.1996.mean,v4composites_calibrated_201709.1997.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,v4composites_calibrated_201709.2011.mean,v4composites_calibrated_201709.2012.mean,v4composites_calibrated_201709.2013.mean,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
12,0.412697955724,0.222612935371,0.511120579007,0.824309009884,1.17448389102,1.33255524886,1.11723965291,1.34964833873,1.67844249622,1.55057588764,1.85091762305,2.58798298888,3.69556240144,2.94229247538,3.82727419499,3.33166959841,2.88672837327,0.57670758244,5.67503315683,5.99047471951,4.83413105807,7.5232409339,ADM2,12,THA,THA-ADM2-46861878B66219309,Ban Fang,ADM2
13,0.567158907421,0.468761372846,1.02572143942,1.82906853102,2.66507662157,2.72586327046,4.18748757842,5.04636058071,4.02965287682,4.18638874054,5.1256532838,3.63126507892,5.16727448636,4.48357153988,3.994480203,3.57794566952,1.23990086306,0.0,5.09743710993,6.54143025514,4.7112204772,6.5429003253,ADM2,13,THA,THA-ADM2-46861878B89938454,Ban Haet,ADM2
14,0.388175402655,1.2452380645,0.567017203588,1.85423450374,2.0793801062,1.986564299,1.82091203322,1.24914860484,1.85470099874,2.3651926535,2.29329183736,2.28199231381,2.4676364961,1.72410889873,1.99210893058,2.12285597025,2.48019996168,0.0,5.94164917718,3.97311599035,3.31023278835,3.81025036022,ADM2,14,THA,THA-ADM2-46861878B601664,Ban Hong,ADM2
15,0.0,0.324855433873,0.0213152962999,0.0871939274386,0.0374774988415,0.0919320485354,0.616319715604,0.0,0.1621840852,0.0862277434007,0.197052619123,0.882092997836,0.196885156774,0.777724325655,0.251880787292,0.181477842483,0.385962197137,0.201749304525,1.14189253554,0.911435736489,0.672143892375,1.03337002988,ADM2,15,THA,THA-ADM2-46861878B71615132,Ban Kha,ADM2
16,1.22196161781,5.82066836257,5.72889039957,7.1966179304,10.3726461048,13.4682429441,14.1592010876,11.2316351365,12.2948818575,11.3228874249,10.7920411312,11.2518770996,13.0729152965,14.0204681547,11.8632959069,12.0523393951,13.0084099128,8.4484740978,12.0514785725,15.5931284022,13.3151370966,15.1293254562,ADM2,16,THA,THA-ADM2-46861878B93758212,Ban Khai,ADM2
17,0.0,0.0,0.0,0.0,0.0713212622409,0.0591612890466,0.0,0.0,0.0502479007585,0.0599723119143,0.142638995098,0.121566285671,0.120757564378,0.150738906065,0.133719430169,0.144254557853,0.112648907752,0.0,0.273918953087,0.183165007742,0.207462798568,0.230938197479,ADM2,17,THA,THA-ADM2-46861878B15796892,Ban Khok,ADM2
18,0.322873646065,0.489411544283,0.488260253822,0.989708582275,1.00841753068,0.784069363771,0.698826971974,1.01245696672,0.605894151715,0.835911409732,1.16920709361,0.790214677363,1.15245800954,1.29417623705,1.13687571805,1.1839556687,0.115089270241,0.0,2.39579514296,2.4197351107,2.28393535546,3.13098629647,ADM2,18,THA,THA-ADM2-46861878B79747864,Ban Khwao,ADM2
19,0.0351866909266,0.104095317053,0.0483826460156,0.265386694713,0.349615507574,0.540425454375,0.319626553019,0.237526359783,0.351896608645,0.472118317755,0.611781267977,0.579150818713,0.788824783366,0.476505791909,0.21113099877,0.337213377333,0.145147553494,0.0,1.35557336192,1.79895589205,1.20023816937,1.72646982145,ADM2,19,THA,THA-ADM2-46861878B8440153,Ban Kruat,ADM2
20,6.08098971605,7.91563093817,7.11848431323,8.53773043119,8.97627456934,8.42211058391,10.1810443669,9.34780315668,8.32736150392,8.64213558579,9.15649673892,8.62605517152,8.63089227339,9.07941108535,8.83936947572,9.39157101493,10.1949071016,10.9017932698,11.6032567966,12.823451405,13.662928098,15.9795071898,ADM2,20,THA,THA-ADM2-46861878B37167431,Ban Laem,ADM2
21,4.05100480138,5.18767764671,5.77079771973,7.53010885199,7.36907333276,7.32671862965,7.56771822989,6.50409362811,6.78215300004,7.53197425843,7.49828887136,8.07329059136,8.48974719234,7.83817937479,7.63696479786,8.31122028914,9.11810088089,10.0945128896,10.9217193475,11.4695394721,12.3060990076,14.832813394,ADM2,21,THA,THA-ADM2-46861878B96506356,Ban Lat,ADM2
22,0.0,0.106640646579,0.0,0.110827270046,0.110825609743,0.240469114913,0.309463059648,0.353371839348,0.213284406413,0.261373057396,0.372210601699,0.27601108353,0.37847735749,0.102458176434,0.430735600899,0.497648901394,0.384738496654,0.0,1.18776999218,0.989115362249,0.817581390404,0.928406472309,ADM2,22,THA,THA-ADM2-46861878B38737584,Ban Luang,ADM2
23,0.0,0.125497852801,0.143430925276,0.0968153101527,0.172114488107,0.351402669355,0.157766514811,0.983394762017,0.728861185112,0.922396824855,0.941068604179,0.714845441675,1.07708191429,0.501987174574,0.474881431429,0.487636433932,0.0,0.0,0.910768422541,2.14573958279,0.882961295118,1.43961300139,ADM2,23,THA,THA-ADM2-46861878B39690771,Ban Lueam,ADM2
24,0.289349128016,0.747506860124,0.786104546041,1.24421829574,1.29729323712,1.02240923007,0.834285851869,0.761953607479,0.62212175926,1.46815680308,0.839120455644,0.73784800002,0.260416738013,0.597988406071,0.43402378766,0.86804659509,0.0,0.0,3.20422704015,2.84054544163,1.77515840564,2.16309854575,ADM2,24,THA,THA-ADM2-46861878B11996455,Ban Mai Chaiyaphot,ADM2
25,0.599761286111,1.04548332829,0.999755329533,2.90743911779,2.36900627984,1.67313159249,1.71607956372,2.01279149251,2.57098347321,2.33791126453,2.43866632332,2.2056846579,2.26343583496,2.56158864035,2.13396196277,2.13277102077,0.133077449723,0.111808646428,3.77976571019,4.79456108898,3.54407528009,4.80885799061,ADM2,25,THA,THA-ADM2-46861878B43263021,Ban Mi,ADM2
26,12.9764376957,13.9633188136,12.861832875,16.9950665809,17.2826169214,15.0895243399,15.2257732962,14.7689670083,12.2904574703,12.1134000364,11.4359652075,12.6505076888,13.3799704191,13.9944516869,12.6394316901,13.8077026407,8.76554622992,7.98710069139,13.6064313525,14.6470012976,15.8696647248,17.725968125,ADM2,26,THA,THA-ADM2-46861878B94084697,Ban Mo,ADM2
27,0.0444263557522,0.0550046496499,0.130112763685,0.386088669601,0.32051912216,0.304743247586,0.358582990108,0.349064957319,0.601405223645,0.495240405862,0.471671874329,0.312692225739,0.307834235349,0.267619577042,0.380816729147,0.591815827895,0.456441364175,0.322640694192,0.866671564669,0.896312788896,0.430523996316,0.652127125145,ADM2,27,THA,THA-ADM2-46861878B94741256,Ban Muang,ADM2
28,1.67891337055,4.05457185563,3.77476581408,7.05834578933,7.8255142504,6.98803644243,8.46042058556,8.31727212892,8.82957563013,7.86672675834,7.06566268302,7.90722994942,8.20291213972,8.95757879707,7.3818714479,7.41729587133,1.46714251688,1.68718944774,9.62582854401,9.87214013113,9.39505414037,10.9388695392,ADM2,28,THA,THA-ADM2-46861878B36148528,Ban Na,ADM2
29,0.909571617162,1.45951280665,1.38750680413,3.16990763639,3.4095749118,3.23873900405,5.68141072067,3.80129018002,4.13348694007,4.0937468907,4.66937657622,6.45980470491,6.67729343448,6.23316762153,4.6701067993,5.45545767614,5.92084523245,4.92229283592,7.40626599886,6.65240058228,6.57334764315,6.62035734993,ADM2,29,THA,THA-ADM2-46861878B41482005,Ban Na Doem,ADM2
30,0.62843603148,1.24592989032,0.906625473447,2.38393865822,2.62160702104,2.2181047388,3.13276226025,2.4128664715,3.13552380993,2.99305961643,3.20117259077,3.49448361652,3.56098257998,3.83141128661,2.91114021933,3.37609332993,3.72020554277,3.40257991856,4.28736861563,4.36756128786,4.02893550885,4.04146418234,ADM2,30,THA,THA-ADM2-46861878B77819000,Ban Na San,ADM2
31,0.228953071036,0.573311816446,0.636872475372,0.67076957333,0.584851363969,1.176996091,0.838872232956,0.604208941881,1.39273519939,1.37482825664,1.43993401673,1.12618617572,0.855110475125,0.612489945706,0.746453451183,0.913327527816,0.934206318848,0.765893628179,1.99113428925,2.17987306343,1.8145084419,2.38777493503,ADM2,31,THA,THA-ADM2-46861878B63605752,Ban Phaeng,ADM2
32,9.79511144792,11.3502148941,9.59087546519,13.5026964772,13.2222897393,11.4828902799,13.0176467657,12.9395731613,13.3700965513,14.5473909116,12.5748800551,13.188591427,13.4247700301,13.9977866643,12.8296664851,13.1591114454,13.1448708994,8.20497922348,14.0975322511,14.2566110059,15.3959813933,17.541043417,ADM2,32,THA,THA-ADM2-46861878B46267823,Ban Phaeo,ADM2
33,1.91359170052,2.39370776408,2.82470139256,3.37108093811,3.41482102977,3.7863711839,3.98828780282,4.30209798748,3.63755260132,3.70997941234,4.80979204935,4.78139543735,5.50887410724,5.63384935854,5.8583027635,5.07282839386,3.04843158445,2.45429681739,5.92806435308,7.38549331349,5.39200476588,6.73036680295,ADM2,33,THA,THA-ADM2-46861878B65972057,Ban Phai,ADM2
34,7.94618748325,14.4436015166,17.2156399285,17.4389253215,19.6905869201,17.6893221468,19.0572034329,16.8610687872,17.1643352832,17.2161277727,15.504900041,15.4728700855,15.1960524689,14.6212379249,17.4121950076,17.7394760229,17.2907618121,6.89011146244,15.2793178773,18.2745991557,17.08997399,19.4875148164,ADM2,34,THA,THA-ADM2-46861878B41690743,Ban Pho,ADM2
