asdf_id,v4composites_calibrated_201709.1992.mean,v4composites_calibrated_201709.1993.mean,v4composites_calibrated_201709.1994.mean,v4composites_calibrated_201709.1995.mean,v4composites_calibrated_201709.1996.mean,v4composites_calibrated_201709.1997.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,v4composites_calibrated_201709.2011.mean,v4composites_calibrated_201709.2012.mean,v4composites_calibrated_201709.2013.mean,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
11,1.08961899938,1.65888535546,1.36844953785,2.27378625958,2.44185775967,2.31253644916,3.0212060882,2.66899997113,2.78627392874,2.88993841234,3.06233206435,3.46246939257,3.70864483815,3.57348948887,2.97269602931,3.14756157447,3.37822821938,3.21320887775,3.78427289677,3.65972652731,3.51725226767,3.59497275479,ADM1,11,THA,THA-ADM1-36821470B7258223,TH-84,Surat Thani Province,ADM1
12,0.372329960717,0.430152354293,0.468969831439,0.627162100631,0.671412749282,0.84621821826,0.780894567796,0.696258499402,0.910165549125,0.875472902537,1.03634216697,1.23835183883,0.919575738752,0.940673009536,0.737420868456,0.74288939225,0.782272406901,0.321350424412,2.44976782308,2.42217282577,1.67146894791,1.95491439581,ADM1,12,THA,THA-ADM1-36821470B58106724,TH-33,Si Sa Ket Province,ADM1
13,0.860042506384,0.998631871587,1.44942530328,1.60041870024,1.7370888048,2.37929917661,1.4099700668,1.12934618426,2.25895452965,1.95344802967,2.01338947108,2.10835340785,2.2844124337,1.95097545763,2.31845509012,2.25185356853,2.59065712261,1.96231992246,3.35468266951,3.65379860944,2.87527279658,3.97272415083,ADM1,13,THA,THA-ADM1-36821470B36588148,TH-43,Nong Khai Province,ADM1
14,48.1126064981,50.676953901,50.3794491813,52.2169223917,53.1745641525,52.4729077232,52.2137429008,51.3267810661,51.5663513604,52.2281801284,48.7766800773,52.3295874944,52.6711501335,52.4875796316,52.4590848529,49.0672707463,53.2874132564,53.3881340447,31.5631750238,42.8881582346,37.6176641303,42.1313691449,ADM1,14,THA,THA-ADM1-36821470B34186964,TH-10,Bangkok,ADM1
15,1.53004450213,1.73544943552,1.8881336146,2.51792780193,2.73184326653,2.90039111469,3.16934993178,3.18526380082,3.19573771672,3.37738703924,3.39630737902,3.21206385477,4.10963485054,3.86686136452,4.05015799797,3.82116380592,3.21620639991,1.67860059607,5.15240359487,5.81495602494,4.87453481601,6.27403890174,ADM1,15,THA,THA-ADM1-36821470B60486434,TH-40,Khon Kaen Province,ADM1
16,0.214860455779,0.264399212905,0.273057083052,0.472541030535,0.530640501276,0.54341955313,0.831868545315,0.733956769539,0.785551069043,0.73782312556,0.808665168564,0.800150847671,0.807131817713,0.875629487929,0.868120667174,0.928129399879,1.00635105893,0.511657207557,1.73715189448,1.75579309382,1.6004730514,2.06647771189,ADM1,16,THA,THA-ADM1-36821470B90580634,TH-42,Loei Province,ADM1
17,9.08467165834,11.1199067942,11.336259443,13.1596442273,14.9386251014,12.2865951633,12.7313317405,11.4578154354,11.1435979604,10.8072832719,10.1014246208,11.2183057286,12.2567390583,12.2930159457,11.155457337,11.7620794093,7.8414379591,8.885479189,11.2869740215,13.6018463767,12.5656456599,14.1951958934,ADM1,17,THA,THA-ADM1-36821470B31642809,TH-19,Saraburi Province,ADM1
18,0.129120838099,0.194744257226,0.341662651255,0.59065882862,0.530840217588,0.536403577977,0.761179277822,0.492532686791,0.662277694615,0.559569456806,0.727653409927,0.737195800592,0.921934181059,1.10034352607,0.866804872696,1.0939654758,0.266839454707,0.578947279539,1.60426274656,2.09279902616,1.62844117522,2.19795170301,ADM1,18,THA,THA-ADM1-36821470B74570031,TH-61,Uthai Thani Province,ADM1
19,1.86875986296,2.80540408797,2.04248002362,3.57527555001,3.26938030806,2.64113040583,3.61384513634,3.42007920183,3.15317808199,3.19554716342,2.99300894954,3.70365770024,3.32267451257,3.17512281038,3.05461236371,3.25415797952,2.96688207679,3.80214685069,4.38021317549,4.0578360862,3.94329359166,4.00634661431,ADM1,19,THA,THA-ADM1-36821470B54436934,TH-86,Chumphon Province,ADM1
20,0.595511023043,0.613603127893,0.785943900234,1.01253125864,1.03320562548,1.37530239548,1.5255811195,1.61474776208,1.53786591288,1.65676702336,2.19682689433,1.98863003903,2.65570824462,2.61808318502,2.74055775822,3.13989974738,4.00815538914,0.736944933853,4.24065348262,5.42570850521,3.24095699553,4.75272772012,ADM1,20,THA,THA-ADM1-36821470B87472110,TH-46,Kalasin,ADM1
